open_time,open,high,low,close,volume,close_time
2026-01-01T23:46:00.000Z,88893.17000000,88919.45000000,88893.16000000,88919.44000000,12.02365000,2026-01-01T23:46:59.999Z
2026-01-01T23:47:00.000Z,88919.45000000,88919.45000000,88863.25000000,88863.26000000,9.81526000,2026-01-01T23:47:59.999Z
2026-01-01T23:48:00.000Z,88863.25000000,88863.26000000,88790.83000000,88790.84000000,8.77196000,2026-01-01T23:48:59.999Z
2026-01-01T23:49:00.000Z,88790.84000000,88790.84000000,88753.45000000,88781.04000000,8.40491000,2026-01-01T23:49:59.999Z
2026-01-01T23:50:00.000Z,88781.04000000,88819.25000000,88764.38000000,88819.25000000,15.23927000,2026-01-01T23:50:59.999Z
2026-01-01T23:51:00.000Z,88819.24000000,88821.89000000,88819.24000000,88821.88000000,0.99296000,2026-01-01T23:51:59.999Z
2026-01-01T23:52:00.000Z,88821.88000000,88844.49000000,88821.88000000,88844.49000000,3.30462000,2026-01-01T23:52:59.999Z
2026-01-01T23:53:00.000Z,88844.48000000,88866.78000000,88844.48000000,88866.77000000,2.77257000,2026-01-01T23:53:59.999Z
2026-01-01T23:54:00.000Z,88866.77000000,88866.78000000,88834.00000000,88834.00000000,5.15836000,2026-01-01T23:54:59.999Z
2026-01-01T23:55:00.000Z,88834.01000000,88847.83000000,88822.87000000,88822.88000000,4.45203000,2026-01-01T23:55:59.999Z
2026-01-01T23:56:00.000Z,88822.88000000,88846.00000000,88822.87000000,88840.39000000,3.35791000,2026-01-01T23:56:59.999Z
2026-01-01T23:57:00.000Z,88840.39000000,88841.24000000,88832.39000000,88841.24000000,4.37404000,2026-01-01T23:57:59.999Z
2026-01-01T23:58:00.000Z,88841.24000000,88847.94000000,88841.24000000,88847.93000000,1.36595000,2026-01-01T23:58:59.999Z
2026-01-01T23:59:00.000Z,88847.94000000,88847.94000000,88821.64000000,88839.04000000,10.92507000,2026-01-01T23:59:59.999Z
2026-01-02T00:00:00.000Z,88839.05000000,88890.09000000,88800.00000000,88844.66000000,25.77402000,2026-01-02T00:00:59.999Z
2026-01-02T00:01:00.000Z,88844.66000000,88880.00000000,88838.22000000,88860.01000000,15.67009000,2026-01-02T00:01:59.999Z
2026-01-02T00:02:00.000Z,88860.00000000,88860.01000000,88800.01000000,88800.01000000,6.00360000,2026-01-02T00:02:59.999Z
2026-01-02T00:03:00.000Z,88800.01000000,88818.61000000,88753.72000000,88763.33000000,22.31925000,2026-01-02T00:03:59.999Z
2026-01-02T00:04:00.000Z,88763.33000000,88763.34000000,88720.00000000,88720.00000000,10.19243000,2026-01-02T00:04:59.999Z
2026-01-02T00:05:00.000Z,88720.00000000,88759.84000000,88720.00000000,88720.00000000,6.34336000,2026-01-02T00:05:59.999Z
2026-01-02T00:06:00.000Z,88720.00000000,88720.01000000,88674.80000000,88674.80000000,16.41820000,2026-01-02T00:06:59.999Z
2026-01-02T00:07:00.000Z,88674.80000000,88700.00000000,88648.13000000,88652.53000000,7.96759000,2026-01-02T00:07:59.999Z
2026-01-02T00:08:00.000Z,88652.53000000,88671.10000000,88603.38000000,88630.03000000,12.88463000,2026-01-02T00:08:59.999Z
2026-01-02T00:09:00.000Z,88630.04000000,88674.00000000,88604.03000000,88616.59000000,11.96283000,2026-01-02T00:09:59.999Z
2026-01-02T00:10:00.000Z,88616.60000000,88630.62000000,88603.07000000,88608.42000000,5.69128000,2026-01-02T00:10:59.999Z
2026-01-02T00:11:00.000Z,88608.42000000,88661.51000000,88608.42000000,88649.98000000,6.85608000,2026-01-02T00:11:59.999Z
2026-01-02T00:12:00.000Z,88649.97000000,88650.99000000,88619.91000000,88619.91000000,7.91570000,2026-01-02T00:12:59.999Z
2026-01-02T00:13:00.000Z,88619.92000000,88637.10000000,88619.92000000,88632.30000000,4.09319000,2026-01-02T00:13:59.999Z
2026-01-02T00:14:00.000Z,88632.29000000,88633.61000000,88632.29000000,88633.61000000,0.65203000,2026-01-02T00:14:59.999Z
2026-01-02T00:15:00.000Z,88633.61000000,88651.00000000,88633.60000000,88650.99000000,3.29458000,2026-01-02T00:15:59.999Z
2026-01-02T00:16:00.000Z,88651.00000000,88661.50000000,88650.99000000,88661.50000000,2.66696000,2026-01-02T00:16:59.999Z
2026-01-02T00:17:00.000Z,88661.49000000,88661.49000000,88612.39000000,88612.39000000,4.90294000,2026-01-02T00:17:59.999Z
2026-01-02T00:18:00.000Z,88612.39000000,88613.18000000,88594.39000000,88594.40000000,3.18954000,2026-01-02T00:18:59.999Z
2026-01-02T00:19:00.000Z,88594.40000000,88610.73000000,88594.39000000,88610.73000000,1.03781000,2026-01-02T00:19:59.999Z
2026-01-02T00:20:00.000Z,88610.72000000,88625.39000000,88610.72000000,88625.38000000,3.96480000,2026-01-02T00:20:59.999Z
2026-01-02T00:21:00.000Z,88625.39000000,88661.50000000,88625.38000000,88661.49000000,3.53736000,2026-01-02T00:21:59.999Z
2026-01-02T00:22:00.000Z,88661.50000000,88680.00000000,88638.36000000,88674.80000000,4.16875000,2026-01-02T00:22:59.999Z
2026-01-02T00:23:00.000Z,88674.80000000,88721.56000000,88674.80000000,88698.22000000,20.62915000,2026-01-02T00:23:59.999Z
2026-01-02T00:24:00.000Z,88698.22000000,88698.22000000,88674.80000000,88691.28000000,2.98796000,2026-01-02T00:24:59.999Z
2026-01-02T00:25:00.000Z,88691.29000000,88712.48000000,88691.28000000,88697.41000000,4.03389000,2026-01-02T00:25:59.999Z
2026-01-02T00:26:00.000Z,88697.41000000,88714.01000000,88692.63000000,88714.00000000,3.25686000,2026-01-02T00:26:59.999Z
2026-01-02T00:27:00.000Z,88714.01000000,88714.01000000,88666.31000000,88686.92000000,5.08551000,2026-01-02T00:27:59.999Z
2026-01-02T00:28:00.000Z,88686.91000000,88693.68000000,88686.91000000,88693.67000000,1.01795000,2026-01-02T00:28:59.999Z
2026-01-02T00:29:00.000Z,88693.67000000,88719.86000000,88693.67000000,88715.27000000,0.96962000,2026-01-02T00:29:59.999Z
2026-01-02T00:30:00.000Z,88715.26000000,88731.46000000,88715.26000000,88731.46000000,3.61870000,2026-01-02T00:30:59.999Z
2026-01-02T00:31:00.000Z,88731.45000000,88836.00000000,88731.45000000,88836.00000000,10.39169000,2026-01-02T00:31:59.999Z
2026-01-02T00:32:00.000Z,88836.00000000,88873.89000000,88835.99000000,88859.63000000,8.00247000,2026-01-02T00:32:59.999Z
2026-01-02T00:33:00.000Z,88859.64000000,88877.12000000,88832.98000000,88852.84000000,28.64809000,2026-01-02T00:33:59.999Z
2026-01-02T00:34:00.000Z,88852.84000000,88863.25000000,88826.00000000,88826.01000000,7.32625000,2026-01-02T00:34:59.999Z
2026-01-02T00:35:00.000Z,88826.00000000,88826.01000000,88825.99000000,88825.99000000,0.63152000,2026-01-02T00:35:59.999Z
2026-01-02T00:36:00.000Z,88826.00000000,88829.35000000,88806.47000000,88823.66000000,10.32786000,2026-01-02T00:36:59.999Z
2026-01-02T00:37:00.000Z,88823.66000000,88823.66000000,88808.11000000,88808.12000000,1.20690000,2026-01-02T00:37:59.999Z
2026-01-02T00:38:00.000Z,88808.11000000,88808.12000000,88800.00000000,88807.66000000,1.13931000,2026-01-02T00:38:59.999Z
2026-01-02T00:39:00.000Z,88807.67000000,88807.67000000,88748.00000000,88748.01000000,7.16312000,2026-01-02T00:39:59.999Z
2026-01-02T00:40:00.000Z,88748.00000000,88748.00000000,88681.00000000,88681.00000000,22.16061000,2026-01-02T00:40:59.999Z
2026-01-02T00:41:00.000Z,88681.00000000,88699.73000000,88650.34000000,88672.20000000,20.32315000,2026-01-02T00:41:59.999Z
2026-01-02T00:42:00.000Z,88672.20000000,88678.78000000,88672.19000000,88678.78000000,1.42431000,2026-01-02T00:42:59.999Z
2026-01-02T00:43:00.000Z,88678.78000000,88678.78000000,88652.17000000,88652.17000000,3.07077000,2026-01-02T00:43:59.999Z
2026-01-02T00:44:00.000Z,88652.17000000,88697.22000000,88652.17000000,88697.22000000,4.52826000,2026-01-02T00:44:59.999Z
2026-01-02T00:45:00.000Z,88697.22000000,88768.65000000,88697.21000000,88768.65000000,3.77986000,2026-01-02T00:45:59.999Z
2026-01-02T00:46:00.000Z,88768.64000000,88807.67000000,88768.64000000,88797.84000000,9.40651000,2026-01-02T00:46:59.999Z
2026-01-02T00:47:00.000Z,88797.84000000,88839.49000000,88780.00000000,88832.00000000,14.83508000,2026-01-02T00:47:59.999Z
2026-01-02T00:48:00.000Z,88832.00000000,88843.20000000,88821.18000000,88834.85000000,9.09962000,2026-01-02T00:48:59.999Z
2026-01-02T00:49:00.000Z,88834.85000000,88849.00000000,88821.50000000,88833.59000000,17.58389000,2026-01-02T00:49:59.999Z
2026-01-02T00:50:00.000Z,88833.60000000,88841.25000000,88825.12000000,88825.13000000,1.71289000,2026-01-02T00:50:59.999Z
2026-01-02T00:51:00.000Z,88825.13000000,88887.30000000,88825.12000000,88882.69000000,13.66059000,2026-01-02T00:51:59.999Z
2026-01-02T00:52:00.000Z,88882.70000000,88887.83000000,88819.79000000,88819.79000000,6.62819000,2026-01-02T00:52:59.999Z
2026-01-02T00:53:00.000Z,88819.79000000,88819.80000000,88760.00000000,88793.13000000,5.58375000,2026-01-02T00:53:59.999Z
2026-01-02T00:54:00.000Z,88793.13000000,88802.01000000,88792.13000000,88794.30000000,1.09368000,2026-01-02T00:54:59.999Z
2026-01-02T00:55:00.000Z,88794.29000000,88804.95000000,88794.29000000,88804.94000000,1.26123000,2026-01-02T00:55:59.999Z
2026-01-02T00:56:00.000Z,88804.95000000,88804.95000000,88804.94000000,88804.94000000,0.79645000,2026-01-02T00:56:59.999Z
2026-01-02T00:57:00.000Z,88804.94000000,88804.95000000,88804.94000000,88804.95000000,0.91075000,2026-01-02T00:57:59.999Z
2026-01-02T00:58:00.000Z,88804.95000000,88804.95000000,88766.07000000,88766.08000000,2.53969000,2026-01-02T00:58:59.999Z
2026-01-02T00:59:00.000Z,88766.08000000,88833.97000000,88766.08000000,88833.97000000,4.38443000,2026-01-02T00:59:59.999Z
